Trddt,Yield
2002/1/4,2.5132
2002/1/7,2.5315
2002/1/8,1.6574
2002/1/9,1.6275
2002/1/10,1.6239
2002/1/11,1.6271
2002/1/14,1.3843
2002/1/15,1.4417
2002/1/16,1.4707
2002/1/17,1.44
2002/1/18,2.1773
2002/1/21,2.178
2002/1/22,2.1803
2002/1/23,2.3195
2002/1/24,2.1502
2002/1/25,2.3347
2002/1/28,2.2602
2002/1/29,1.5534
2002/1/30,2.183
2002/1/31,2.1987
2002/2/1,2.1114
2002/2/4,2.098
2002/2/5,2.0685
2002/2/6,2.1482
2002/2/7,2.0338
2002/2/8,2.0438
2002/2/9,2.0626
2002/2/10,2.0855
2002/2/11,2.1192
2002/2/19,2.1142
2002/2/20,1.9979
2002/2/21,2.0952
2002/2/22,2.0721
2002/2/25,1.9462
2002/2/26,1.9155
2002/2/27,1.9112
2002/2/28,1.9053
2002/3/1,1.9359
2002/3/4,2.0187
2002/3/5,1.9382
2002/3/6,1.7784
2002/3/7,1.7614
2002/3/8,1.7253
2002/3/11,1.757
2002/3/12,1.7553
2002/3/13,1.7809
2002/3/14,1.7629
2002/3/15,1.7947
2002/3/18,1.9667
2002/3/19,2.0084
2002/3/20,2.0078
2002/3/21,1.7783
2002/3/22,1.7618
2002/3/25,1.6896
2002/3/26,1.738
2002/3/27,1.5678
2002/3/28,1.6812
2002/3/29,1.7318
2002/4/1,1.7965
2002/4/2,1.8861
2002/4/3,1.7736
2002/4/4,1.7216
2002/4/5,1.5235
2002/4/8,1.7338
2002/4/9,1.6963
2002/4/10,1.7778
2002/4/11,1.7777
2002/4/12,1.8713
2002/4/15,1.8287
2002/4/16,1.8726
2002/4/17,1.8063
2002/4/18,1.8568
2002/4/19,1.9378
2002/4/22,1.8105
2002/4/23,1.8447
2002/4/24,1.798
2002/4/25,1.7575
2002/4/26,5.0297
2002/4/27,1.7825
2002/4/28,0.8292
2002/4/29,1.7561
2002/4/30,1.8594
2002/5/8,1.815
2002/5/9,1.7731
2002/5/10,1.9487
2002/5/13,1.7747
2002/5/14,1.7996
2002/5/15,1.7795
2002/5/16,1.802
2002/5/17,1.8113
2002/5/20,1.7585
2002/5/21,1.8049
2002/5/22,1.8064
2002/5/23,1.8729
2002/5/24,1.8619
2002/5/27,1.761
2002/5/28,1.7633
2002/5/29,1.7669
2002/5/30,1.7725
2002/5/31,1.7809
2002/6/3,1.8101
2002/6/4,1.4612
2002/6/5,1.4278
2002/6/6,1.7444
2002/6/7,1.5841
2002/6/10,1.7855
2002/6/11,1.7706
2002/6/12,1.793
2002/6/13,1.7803
2002/6/14,1.734
2002/6/17,1.745
2002/6/18,1.8252
2002/6/19,1.7212
2002/6/20,1.7394
2002/6/21,1.7254
2002/6/24,1.7235
2002/6/25,1.4979
2002/6/26,1.6649
2002/6/27,1.7265
2002/6/28,1.6757
2002/7/1,1.7176
2002/7/2,1.738
2002/7/3,1.6975
2002/7/4,1.7005
2002/7/5,1.6057
2002/7/8,1.6501
2002/7/9,1.6884
2002/7/10,1.5921
2002/7/11,1.6495
2002/7/12,1.8027
2002/7/15,1.4081
2002/7/16,1.5974
2002/7/17,1.6853
2002/7/18,1.7997
2002/7/19,1.6137
2002/7/22,1.5703
2002/7/23,1.4977
2002/7/24,1.5092
2002/7/25,1.6963
2002/7/26,1.5689
2002/7/29,1.6938
2002/7/30,1.718
2002/7/31,1.6231
2002/8/1,1.604
2002/8/2,1.6729
2002/8/5,1.6279
2002/8/6,1.6364
2002/8/7,1.6315
2002/8/8,1.7241
2002/8/9,1.5025
2002/8/12,1.6249
2002/8/13,1.7003
2002/8/14,1.6633
2002/8/15,1.6855
2002/8/16,1.449
2002/8/19,1.4022
2002/8/20,1.3731
2002/8/21,1.4186
2002/8/22,1.843
2002/8/26,1.4558
2002/8/27,1.5286
2002/8/28,1.6195
2002/8/29,1.7025
2002/8/30,1.6296
2002/9/2,1.5707
2002/9/3,1.7381
2002/9/4,1.7312
2002/9/5,1.4872
2002/9/6,1.5259
2002/9/9,1.4113
2002/9/10,1.1391
2002/9/11,1.7507
2002/9/12,1.815
2002/9/13,1.2969
2002/9/16,1.5903
2002/9/17,1.6144
2002/9/18,1.8274
2002/9/19,1.4383
2002/9/20,1.7717
2002/9/23,1.9128
2002/9/24,1.8639
2002/9/25,1.8159
2002/9/26,1.7162
2002/9/27,1.8222
2002/9/28,1.9748
2002/9/29,1.719
2002/9/30,1.3792
2002/10/8,1.8737
2002/10/9,1.8766
2002/10/10,1.831
2002/10/11,1.8473
2002/10/14,1.8606
2002/10/15,1.8093
2002/10/16,1.8229
2002/10/17,1.6454
2002/10/18,1.9093
2002/10/21,1.8391
2002/10/22,1.8739
2002/10/23,1.8884
2002/10/24,1.9725
2002/10/25,1.941
2002/10/28,2.0911
2002/10/29,1.991
2002/10/30,1.8774
2002/10/31,1.8823
2002/11/1,1.824
2002/11/4,2.0784
2002/11/5,1.8063
2002/11/6,1.7737
2002/11/7,1.7627
2002/11/8,1.2744
2002/11/11,1.7562
2002/11/12,1.7578
2002/11/13,1.7646
2002/11/14,1.77
2002/11/15,1.7784
2002/11/18,1.7609
2002/11/19,1.3904
2002/11/20,1.7753
2002/11/21,1.7035
2002/11/22,1.6823
2002/11/25,1.6716
2002/11/26,1.6242
2002/11/27,1.656
2002/11/28,1.6614
2002/11/29,1.3609
2002/12/2,1.7152
2002/12/3,1.7064
2002/12/4,1.7088
2002/12/5,1.6656
2002/12/6,1.6889
2002/12/9,1.5926
2002/12/10,1.703
2002/12/11,1.6386
2002/12/12,1.6774
2002/12/13,2.1055
2002/12/16,1.6725
2002/12/17,1.6224
2002/12/18,1.6876
2002/12/19,1.6994
2002/12/20,1.7042
2002/12/23,1.6654
2002/12/24,2.1589
2002/12/25,1.5371
2002/12/26,2.0763
2002/12/27,1.385
2002/12/30,1.8176
2002/12/31,1.9288
2003/1/2,1.5024
2003/1/3,1.5755
2003/1/6,1.4978
