代码,简称,时间,周单位净值(元)
160706.OF,嘉实300,2005-09-02,1.0070
160706.OF,嘉实300,2005-09-09,1.0070
160706.OF,嘉实300,2005-09-16,1.0230
160706.OF,嘉实300,2005-09-23,0.9710
160706.OF,嘉实300,2005-09-30,0.9710
160706.OF,嘉实300,2005-10-14,0.9590
160706.OF,嘉实300,2005-10-21,0.9580
160706.OF,嘉实300,2005-10-28,0.9180
160706.OF,嘉实300,2005-11-04,0.9270
160706.OF,嘉实300,2005-11-11,0.9130
160706.OF,嘉实300,2005-11-18,0.9300
160706.OF,嘉实300,2005-11-25,0.9330
160706.OF,嘉实300,2005-12-02,0.9200
160706.OF,嘉实300,2005-12-09,0.9400
160706.OF,嘉实300,2005-12-16,0.9550
160706.OF,嘉实300,2005-12-23,0.9690
161607.OF,融通巨潮,2005-05-13,1.0000
161607.OF,融通巨潮,2005-05-20,0.9980
161607.OF,融通巨潮,2005-05-27,0.9840
161607.OF,融通巨潮,2005-06-03,0.9710
161607.OF,融通巨潮,2005-06-10,1.0050
161607.OF,融通巨潮,2005-06-17,0.9990
161607.OF,融通巨潮,2005-06-24,1.0100
161607.OF,融通巨潮,2005-07-01,0.9720
161607.OF,融通巨潮,2005-07-08,0.9480
161607.OF,融通巨潮,2005-07-15,0.9710
161607.OF,融通巨潮,2005-07-22,0.9940
161607.OF,融通巨潮,2005-07-29,1.0210
161607.OF,融通巨潮,2005-08-05,1.0550
161607.OF,融通巨潮,2005-08-12,1.0490
161607.OF,融通巨潮,2005-08-19,1.0480
161607.OF,融通巨潮,2005-08-26,1.0240
161607.OF,融通巨潮,2005-09-02,1.0330
161607.OF,融通巨潮,2005-09-09,1.0280
161607.OF,融通巨潮,2005-09-16,1.0340
161607.OF,融通巨潮,2005-09-23,0.9840
161607.OF,融通巨潮,2005-09-30,0.9880
161607.OF,融通巨潮,2005-10-14,0.9700
161607.OF,融通巨潮,2005-10-21,0.9680
161607.OF,融通巨潮,2005-10-28,0.9340
161607.OF,融通巨潮,2005-11-04,0.9450
161607.OF,融通巨潮,2005-11-11,0.9320
161607.OF,融通巨潮,2005-11-18,0.9490
161607.OF,融通巨潮,2005-11-25,0.9550
161607.OF,融通巨潮,2005-12-02,0.9480
161607.OF,融通巨潮,2005-12-09,0.9710
161607.OF,融通巨潮,2005-12-16,0.9830
161607.OF,融通巨潮,2005-12-23,0.9970
510050.OF,50ETF,2004-12-31,0.9960
510050.OF,50ETF,2005-01-07,0.9810
510050.OF,50ETF,2005-01-14,0.9830
510050.OF,50ETF,2005-01-21,0.9880
510050.OF,50ETF,2005-01-28,0.9760
510050.OF,50ETF,2005-02-04,0.8730
510050.OF,50ETF,2005-02-18,0.8560
510050.OF,50ETF,2005-02-25,0.8780
510050.OF,50ETF,2005-03-04,0.8590
510050.OF,50ETF,2005-03-11,0.8540
510050.OF,50ETF,2005-03-18,0.8210
510050.OF,50ETF,2005-03-25,0.8070
510050.OF,50ETF,2005-04-01,0.8230
510050.OF,50ETF,2005-04-08,0.8380
510050.OF,50ETF,2005-04-15,0.8170
510050.OF,50ETF,2005-04-22,0.7950
510050.OF,50ETF,2005-04-29,0.7920
510050.OF,50ETF,2005-05-13,0.7590
510050.OF,50ETF,2005-05-20,0.7550
510050.OF,50ETF,2005-05-27,0.7290
510050.OF,50ETF,2005-06-03,0.7060
510050.OF,50ETF,2005-06-10,0.7730
510050.OF,50ETF,2005-06-17,0.7710
510050.OF,50ETF,2005-06-24,0.7840
510050.OF,50ETF,2005-07-01,0.7620
510050.OF,50ETF,2005-07-08,0.7420
510050.OF,50ETF,2005-07-15,0.7640
510050.OF,50ETF,2005-07-22,0.7850
510050.OF,50ETF,2005-07-29,0.8050
510050.OF,50ETF,2005-08-05,0.8290
510050.OF,50ETF,2005-08-12,0.8390
510050.OF,50ETF,2005-08-19,0.8330
510050.OF,50ETF,2005-08-26,0.8390
510050.OF,50ETF,2005-09-02,0.8460
510050.OF,50ETF,2005-09-09,0.8400
510050.OF,50ETF,2005-09-16,0.8470
510050.OF,50ETF,2005-09-23,0.8090
510050.OF,50ETF,2005-09-30,0.8090
510050.OF,50ETF,2005-10-14,0.7930
510050.OF,50ETF,2005-10-21,0.7900
510050.OF,50ETF,2005-10-28,0.7630
510050.OF,50ETF,2005-11-04,0.7720
510050.OF,50ETF,2005-11-11,0.7600
510050.OF,50ETF,2005-11-18,0.7740
510050.OF,50ETF,2005-11-25,0.7830
510050.OF,50ETF,2005-12-02,0.7730
510050.OF,50ETF,2005-12-09,0.7940
510050.OF,50ETF,2005-12-16,0.7990
510050.OF,50ETF,2005-12-23,0.8090
159901.OF,深100ETF,2006-03-24,1.0000
159901.OF,深100ETF,2006-04-21,1.1400
159901.OF,深100ETF,2006-04-28,1.1580
159901.OF,深100ETF,2006-05-12,1.2670
159901.OF,深100ETF,2006-05-19,1.3550
159901.OF,深100ETF,2006-05-26,1.3230
159901.OF,深100ETF,2006-06-02,1.3620
159901.OF,深100ETF,2006-06-09,1.2790
159901.OF,深100ETF,2006-06-16,1.3020
159901.OF,深100ETF,2006-06-23,1.3270
159901.OF,深100ETF,2006-06-30,1.3890
159901.OF,深100ETF,2006-07-07,1.4080
159901.OF,深100ETF,2006-07-14,1.3650
159901.OF,深100ETF,2006-07-21,1.3590
159901.OF,深100ETF,2006-07-28,1.3340
159901.OF,深100ETF,2006-08-04,1.2240
159901.OF,深100ETF,2006-08-11,1.2590
159901.OF,深100ETF,2006-08-18,1.2540
159901.OF,深100ETF,2006-08-25,1.2820
159901.OF,深100ETF,2006-09-01,1.3190
159901.OF,深100ETF,2006-09-08,1.3190
159901.OF,深100ETF,2006-09-15,1.3390
159901.OF,深100ETF,2006-09-22,1.3610
159901.OF,深100ETF,2006-09-29,1.3880
159901.OF,深100ETF,2006-10-13,1.4060
159901.OF,深100ETF,2006-10-20,1.4230
159901.OF,深100ETF,2006-10-27,1.4270
159901.OF,深100ETF,2006-11-03,1.4630
159901.OF,深100ETF,2006-11-10,1.4670
159901.OF,深100ETF,2006-11-17,1.5270
