代码,简称,时间,周单位净值(元)
510050.OF,50ETF,2004-12-31,0.9960
510050.OF,50ETF,2005-01-07,0.9810
510050.OF,50ETF,2005-01-14,0.9830
510050.OF,50ETF,2005-01-21,0.9880
510050.OF,50ETF,2005-01-28,0.9760
510050.OF,50ETF,2005-02-04,0.8730
510050.OF,50ETF,2005-02-18,0.8560
510050.OF,50ETF,2005-02-25,0.8780
510050.OF,50ETF,2005-03-04,0.8590
510050.OF,50ETF,2005-03-11,0.8540
510050.OF,50ETF,2005-03-18,0.8210
510050.OF,50ETF,2005-03-25,0.8070
510050.OF,50ETF,2005-04-01,0.8230
510050.OF,50ETF,2005-04-08,0.8380
510050.OF,50ETF,2005-04-15,0.8170
510050.OF,50ETF,2005-04-22,0.7950
510050.OF,50ETF,2005-04-29,0.7920
161607.OF,融通巨潮,2005-05-13,1.0000
510050.OF,50ETF,2005-05-13,0.7590
161607.OF,融通巨潮,2005-05-20,0.9980
510050.OF,50ETF,2005-05-20,0.7550
161607.OF,融通巨潮,2005-05-27,0.9840
510050.OF,50ETF,2005-05-27,0.7290
161607.OF,融通巨潮,2005-06-03,0.9710
510050.OF,50ETF,2005-06-03,0.7060
161607.OF,融通巨潮,2005-06-10,1.0050
510050.OF,50ETF,2005-06-10,0.7730
161607.OF,融通巨潮,2005-06-17,0.9990
510050.OF,50ETF,2005-06-17,0.7710
161607.OF,融通巨潮,2005-06-24,1.0100
510050.OF,50ETF,2005-06-24,0.7840
161607.OF,融通巨潮,2005-07-01,0.9720
510050.OF,50ETF,2005-07-01,0.7620
161607.OF,融通巨潮,2005-07-08,0.9480
510050.OF,50ETF,2005-07-08,0.7420
161607.OF,融通巨潮,2005-07-15,0.9710
510050.OF,50ETF,2005-07-15,0.7640
161607.OF,融通巨潮,2005-07-22,0.9940
510050.OF,50ETF,2005-07-22,0.7850
161607.OF,融通巨潮,2005-07-29,1.0210
510050.OF,50ETF,2005-07-29,0.8050
161607.OF,融通巨潮,2005-08-05,1.0550
510050.OF,50ETF,2005-08-05,0.8290
161607.OF,融通巨潮,2005-08-12,1.0490
510050.OF,50ETF,2005-08-12,0.8390
161607.OF,融通巨潮,2005-08-19,1.0480
510050.OF,50ETF,2005-08-19,0.8330
161607.OF,融通巨潮,2005-08-26,1.0240
510050.OF,50ETF,2005-08-26,0.8390
160706.OF,嘉实300,2005-09-02,1.0070
161607.OF,融通巨潮,2005-09-02,1.0330
510050.OF,50ETF,2005-09-02,0.8460
160706.OF,嘉实300,2005-09-09,1.0070
161607.OF,融通巨潮,2005-09-09,1.0280
510050.OF,50ETF,2005-09-09,0.8400
160706.OF,嘉实300,2005-09-16,1.0230
161607.OF,融通巨潮,2005-09-16,1.0340
510050.OF,50ETF,2005-09-16,0.8470
160706.OF,嘉实300,2005-09-23,0.9710
161607.OF,融通巨潮,2005-09-23,0.9840
510050.OF,50ETF,2005-09-23,0.8090
160706.OF,嘉实300,2005-09-30,0.9710
161607.OF,融通巨潮,2005-09-30,0.9880
510050.OF,50ETF,2005-09-30,0.8090
160706.OF,嘉实300,2005-10-14,0.9590
161607.OF,融通巨潮,2005-10-14,0.9700
510050.OF,50ETF,2005-10-14,0.7930
160706.OF,嘉实300,2005-10-21,0.9580
161607.OF,融通巨潮,2005-10-21,0.9680
510050.OF,50ETF,2005-10-21,0.7900
160706.OF,嘉实300,2005-10-28,0.9180
161607.OF,融通巨潮,2005-10-28,0.9340
510050.OF,50ETF,2005-10-28,0.7630
160706.OF,嘉实300,2005-11-04,0.9270
161607.OF,融通巨潮,2005-11-04,0.9450
510050.OF,50ETF,2005-11-04,0.7720
160706.OF,嘉实300,2005-11-11,0.9130
161607.OF,融通巨潮,2005-11-11,0.9320
510050.OF,50ETF,2005-11-11,0.7600
160706.OF,嘉实300,2005-11-18,0.9300
161607.OF,融通巨潮,2005-11-18,0.9490
510050.OF,50ETF,2005-11-18,0.7740
160706.OF,嘉实300,2005-11-25,0.9330
161607.OF,融通巨潮,2005-11-25,0.9550
510050.OF,50ETF,2005-11-25,0.7830
160706.OF,嘉实300,2005-12-02,0.9200
161607.OF,融通巨潮,2005-12-02,0.9480
510050.OF,50ETF,2005-12-02,0.7730
160706.OF,嘉实300,2005-12-09,0.9400
161607.OF,融通巨潮,2005-12-09,0.9710
