,trdwk,mkt_rf,smb,hml,umd,rf
549,2005-01-07,-0.009568757,0.0166918419,-0.001599847,-0.026043139,0.000428
550,2005-01-14,0.0023304293,0.0060333362,0.002732179,-0.003395773,0.000428
551,2005-01-21,-0.008800744,0.0043234589,0.0022991938,-0.018931597,0.000428
552,2005-01-28,-0.022081468,-0.017804431,-0.00286621,0.0347442781,0.000428
553,2005-02-04,0.0279387018,-0.046163578,0.0018794775,0.0398839776,0.000428
554,2005-02-18,-0.003800108,0.0156616305,0.002797259,-0.023485073,0.000428
555,2005-02-25,0.0482544878,0.0188294821,-0.004707055,-0.026505079,0.000428
556,2005-03-04,-0.019270058,0.0032819992,0.0010649841,0.0058578083,0.000428
557,2005-03-11,0.0059341594,0.0011445941,-0.007179017,0.0212978545,0.000428
558,2005-03-18,-0.053441089,-0.012729183,0.0082820382,0.0341698372,0.000428
559,2005-03-25,-0.019259605,-0.004831004,0.0003947813,0.0226738667,0.000428
560,2005-04-01,0.0074169462,-0.015261323,0.0039654171,0.0262753154,0.000428
561,2005-04-08,0.0214635903,-0.000519591,-0.002059051,-0.00167719,0.000428
562,2005-04-15,-0.033156025,-0.008852264,0.0014440167,0.020434897,0.000428
563,2005-04-22,-0.049033705,-0.030015328,0.017000922,0.0665788055,0.000428
564,2005-04-29,-0.010983417,-0.007044155,0.007777299,-0.003505985,0.000428
565,2005-05-13,-0.044342307,0.0116458972,-0.00235216,-0.041710123,0.000428
566,2005-05-20,-0.001701985,0.0126670039,-1.962e-05,-0.014596872,0.000428
567,2005-05-27,-0.03423054,0.0135277567,-0.013826247,-0.04740331,0.000428
568,2005-06-03,-0.034664212,0.016557515,0.0092374474,-0.035123767,0.000428
569,2005-06-10,0.0881478882,-0.010984082,-0.009969061,0.007935931,0.000428
570,2005-06-17,-0.026603089,-0.019385888,0.0074518375,0.026146751,0.000428
571,2005-06-24,0.0195503434,-0.002016178,0.0014152704,0.0213385356,0.000428
572,2005-07-01,-0.053540775,-0.023286878,-0.007778614,0.0483094396,0.000428
573,2005-07-08,-0.042311057,-0.020999826,0.0024270121,0.0400291977,0.000428
574,2005-07-15,0.0008640205,-0.029340977,-0.005436127,0.0421090812,0.000428
575,2005-07-22,0.0144195316,-0.011976904,0.0031046906,0.0028997807,0.000428
576,2005-07-29,0.0377012543,0.0033311022,-0.004940496,-0.016453679,0.000428
577,2005-08-05,0.0526816071,0.0135164928,-0.004137742,-0.042723666,0.000428
